Trip_ID,Start_Location,Destination,Country,Start_Date,End_Date,Duration_Days,Accommodation_Type,Accommodation_Cost,Transport_Type,Transport_Cost,Food_Cost,Activity_Cost,Base_Currency,User_Selected_Currency,Currency_Rate,Total_Expense,Distance_km,Train_Class
88,Ahmedabad,Berlin,Germany,2024-05-29,2024-06-04,6,Hotel 3-star,72,Bike,296.45,105.0,472.5,USD,JPY,153.0,144730.35,5929,
89,Kolkata,Berlin,Germany,2024-03-07,2024-03-15,8,Airbnb,560,Bus,27.45,140.0,630.0,USD,INR,83.0,112668.35,7031,
90,Pune,London,UK,2024-04-21,2024-04-27,6,Hotel 3-star,72,Flight,516.13,114.0,513.0,USD,INR,83.0,100855.79,7306,
91,Mumbai,London,UK,2024-01-30,2024-02-01,2,Hotel 4-star,50,Flight,909.18,38.0,171.0,USD,USD,1.0,1168.18,7192,
92,Kolkata,Tokyo,Japan,2024-01-26,2024-01-29,3,Airbnb,210,Bike,205.2,42.0,189.0,USD,EUR,0.92,594.5,5130,
93,Jaipur,Bengaluru,India,2024-03-11,2024-03-18,7,Hotel 3-star,84,Bus,42.2,84.0,378.0,USD,INR,83.0,48820.6,1562,
94,Surat,Mumbai,India,2024-08-26,2024-08-29,3,Hostel,21,Train,3.2,36.0,162.0,USD,INR,83.0,18442.6,233,AC_CC
95,Jaipur,Tokyo,Japan,2024-04-21,2024-04-27,6,Hotel 4-star,150,Car,563.92,84.0,378.0,USD,USD,1.0,1175.92,6042,
96,Chennai,Sydney,Australia,2024-07-08,2024-07-12,4,Hotel 4-star,100,Flight,116.61,60.0,270.0,USD,AED,3.67,2006.06,9126,
97,Pune,Berlin,Germany,2024-03-29,2024-04-03,5,Hotel 3-star,60,Bus,28.31,87.5,393.75,USD,EUR,0.92,524.0,6399,
98,Mumbai,New York,USA,2024-02-01,2024-02-09,8,Hotel 4-star,200,Train,,84.0,378.0,USD,JPY,153.0,,12538,Sha_EC
99,Jaipur,Berlin,Germany,2024-08-13,2024-08-22,9,Airbnb,630,Bike,291.1,157.5,708.75,USD,USD,1.0,1787.35,5822,
100,Bengaluru,Sydney,Australia,2024-03-10,2024-03-21,11,Hotel 4-star,275,Flight,1069.27,165.0,742.5,USD,EUR,0.92,2071.63,9349,
101,Hyderabad,Singapore,Singapore,2024-05-07,2024-05-08,1,Airbnb,70,Bus,46.11,18.5,83.25,USD,EUR,0.92,200.43,3293,
102,Jaipur,London,UK,2024-03-13,2024-03-16,3,Hotel 3-star,36,Train,,57.0,256.5,USD,AED,3.67,,6750,GR_3A
103,Chennai,London,UK,2024-06-25,2024-06-29,4,Hotel 5-star,160,Train,,76.0,342.0,USD,JPY,153.0,,8211,Raj_3A
104,Surat,Singapore,Singapore,2024-01-07,2024-01-10,3,Hotel 4-star,75,Flight,530.48,55.5,249.75,USD,USD,1.0,910.73,4017,
105,Jaipur,Berlin,Germany,2024-05-04,2024-05-13,9,Hotel 4-star,225,Bus,32.03,157.5,708.75,USD,INR,83.0,93232.24,5822,
106,Mumbai,Bengaluru,India,2024-04-05,2024-04-14,9,Hotel 3-star,108,Flight,882.41,108.0,486.0,USD,AED,3.67,5814.78,845,
107,Mumbai,Singapore,Singapore,2024-02-28,2024-03-06,7,Hotel 4-star,175,Flight,380.63,129.5,582.75,USD,JPY,153.0,193985.64,3904,
108,Delhi,Bengaluru,India,2024-05-07,2024-05-08,1,Hostel,7,Bike,60.0,12.0,54.0,USD,EUR,0.92,122.36,1750,
109,Jaipur,Paris,France,2024-04-19,2024-04-20,1,Hostel,7,Bike,321.15,17.0,76.5,USD,AED,3.67,1547.46,6612,
110,Jaipur,London,UK,2024-07-24,2024-08-01,8,Hostel,56,Car,855.0,152.0,684.0,USD,AED,3.67,6411.49,6750,
111,Delhi,Berlin,Germany,2024-08-31,2024-09-05,5,Hostel,35,Train,,87.5,393.75,USD,EUR,0.92,,5766,JS_CC
112,Mumbai,Bengaluru,India,2024-01-03,2024-01-08,5,Airbnb,350,Flight,345.66,60.0,270.0,USD,AED,3.67,3764.17,845,
113,Ahmedabad,New York,USA,2024-03-02,2024-03-09,7,Hotel 5-star,280,Train,7.34,73.5,330.75,USD,USD,1.0,691.59,12131,Exp_2S
114,Surat,Paris,France,2024-02-20,2024-02-24,4,Airbnb,280,Bus,15.53,68.0,306.0,USD,GBP,0.79,528.93,6840,
115,Pune,Singapore,Singapore,2024-08-03,2024-08-12,9,Hotel 3-star,108,Car,466.69,166.5,749.25,USD,JPY,153.0,228037.32,3784,
116,Hyderabad,Dubai,UAE,2024-04-29,2024-05-09,10,Hostel,70,Bike,62.0,85.0,382.5,USD,AED,3.67,2200.16,2553,
117,Ahmedabad,Berlin,Germany,2024-01-22,2024-01-31,9,Hotel 4-star,225,Bus,29.22,157.5,708.75,USD,EUR,0.92,1030.83,5929,
118,Bengaluru,Paris,France,2024-05-29,2024-06-01,3,Hostel,21,Car,889.55,51.0,229.5,USD,INR,83.0,98857.15,7849,
119,Jaipur,Paris,France,2024-05-06,2024-05-09,3,Hotel 5-star,120,Car,749.36,51.0,229.5,USD,INR,83.0,95438.38,6612,
120,Mumbai,Berlin,Germany,2024-06-04,2024-06-07,3,Hotel 3-star,36,Car,733.37,52.5,236.25,USD,AED,3.67,3883.3,6286,
121,Chennai,Mumbai,India,2024-08-20,2024-08-30,10,Hotel 3-star,120,Bus,9.77,120.0,540.0,USD,INR,83.0,65550.91,1033,
122,Surat,Sydney,Australia,2024-01-11,2024-01-12,1,Hostel,7,Bus,13.85,15.0,67.5,USD,USD,1.0,103.35,10296,
123,Ahmedabad,New York,USA,2024-08-20,2024-08-21,1,Hotel 4-star,25,Bus,52.67,10.5,47.25,USD,EUR,0.92,124.59,12131,
124,Hyderabad,Dubai,UAE,2024-02-26,2024-02-29,3,Hotel 3-star,36,Car,144.67,25.5,114.75,USD,GBP,0.79,253.53,2553,
125,Jaipur,Berlin,Germany,2024-03-30,2024-04-10,11,Hostel,77,Bike,291.1,192.5,866.25,USD,JPY,153.0,218308.05,5822,
126,Mumbai,Tokyo,Japan,2024-09-06,2024-09-08,2,Hotel 4-star,50,Bike,268.8,28.0,126.0,USD,AED,3.67,1735.18,6720,
127,Bengaluru,Mumbai,India,2024-07-19,2024-07-28,9,Hotel 5-star,360,Train,4.05,108.0,486.0,USD,GBP,0.79,756.86,845,Exp_SL
128,Surat,London,UK,2024-01-18,2024-01-25,7,Hostel,49,Car,888.44,133.0,598.5,USD,USD,1.0,1668.94,7014,
129,Delhi,Paris,France,2024-04-13,2024-04-15,2,Hotel 3-star,24,Bus,35.14,34.0,153.0,USD,AED,3.67,903.33,6572,
130,Ahmedabad,New York,USA,2024-04-04,2024-04-05,1,Hotel 5-star,40,Train,41.51,10.5,47.25,USD,AED,3.67,511.08,12131,Ord_FC
131,Chennai,Dubai,UAE,2024-02-21,2024-02-25,4,Airbnb,280,Bus,20.74,34.0,153.0,USD,EUR,0.92,448.72,2944,
132,Bengaluru,London,UK,2024-04-19,2024-04-30,11,Hostel,77,Bike,436.19,209.0,940.5,USD,AED,3.67,6102.07,8035,
133,Pune,Bengaluru,India,2024-05-21,2024-05-22,1,Hotel 3-star,12,Car,58.8,12.0,54.0,USD,EUR,0.92,125.86,735,
134,Jaipur,New York,USA,2024-01-25,2024-01-29,4,Hotel 5-star,160,Train,41.51,42.0,189.0,USD,INR,83.0,35898.33,11875,Ord_FC
135,Delhi,New York,USA,2024-09-07,2024-09-08,1,Hotel 5-star,40,Bike,352.26,10.5,47.25,USD,EUR,0.92,414.01,11742,
136,Ahmedabad,New York,USA,2024-03-16,2024-03-21,5,Hostel,35,Bike,363.93,52.5,236.25,USD,USD,1.0,687.68,12131,
137,Kolkata,Mumbai,India,2024-01-05,2024-01-10,5,Hostel,35,Car,132.4,60.0,270.0,USD,USD,1.0,497.4,1655,
138,Delhi,Paris,France,2024-03-22,2024-03-23,1,Hostel,7,Bus,45.5,17.0,76.5,USD,AED,3.67,535.82,6572,
139,Kolkata,Berlin,Germany,2024-07-01,2024-07-08,7,Hotel 4-star,175,Bike,351.55,122.5,551.25,USD,GBP,0.79,948.24,7031,
140,Chennai,Tokyo,Japan,2024-03-31,2024-04-11,11,Hotel 4-star,275,Bus,45.87,154.0,693.0,USD,USD,1.0,1167.87,6411,
141,Ahmedabad,Paris,France,2024-06-18,2024-06-22,4,Hotel 4-star,100,Car,756.61,68.0,306.0,USD,EUR,0.92,1132.16,6676,
142,Chennai,Berlin,Germany,2024-06-12,2024-06-23,11,Airbnb,770,Car,851.55,192.5,866.25,USD,USD,1.0,2680.3,7299,
143,Hyderabad,London,UK,2024-01-20,2024-01-25,5,Hotel 5-star,200,Bike,419.19,95.0,427.5,USD,INR,83.0,94760.27,7722,
144,Jaipur,Singapore,Singapore,2024-01-03,2024-01-06,3,Hostel,21,Train,,55.5,249.75,USD,GBP,0.79,,4126,Yuva_18_35
145,Pune,Dubai,UAE,2024-08-18,2024-08-23,5,Hostel,35,Train,19.58,42.5,191.25,USD,JPY,153.0,44114.49,2054,Ord_FC
146,Bengaluru,Tokyo,Japan,2024-04-17,2024-04-29,12,Airbnb,840,Flight,433.98,168.0,756.0,USD,INR,83.0,182432.34,6658,
147,Surat,New York,USA,2024-03-16,2024-03-25,9,Hotel 4-star,225,Bike,369.81,94.5,425.25,USD,JPY,153.0,170527.68,12327,
148,Ahmedabad,Berlin,Germany,2024-06-18,2024-06-26,8,Hotel 5-star,320,Bike,296.45,140.0,630.0,USD,USD,1.0,1386.45,5929,
149,Kolkata,New York,USA,2024-05-31,2024-06-04,4,Hotel 4-star,100,Car,892.22,42.0,189.0,USD,USD,1.0,1223.22,12746,
150,Chennai,Singapore,Singapore,2024-06-27,2024-07-03,6,Hotel 3-star,72,Bike,153.39,111.0,499.5,USD,GBP,0.79,660.35,2902,
151,Bengaluru,London,UK,2024-06-12,2024-06-20,8,Hostel,56,Flight,698.8,152.0,684.0,USD,INR,83.0,132036.4,8035,
152,Bengaluru,Dubai,UAE,2024-03-27,2024-03-31,4,Airbnb,280,Bus,50.89,34.0,153.0,USD,GBP,0.79,409.13,2705,
153,Kolkata,Singapore,Singapore,2024-05-25,2024-06-02,8,Hotel 4-star,200,Bus,59.4,148.0,666.0,USD,JPY,153.0,164230.2,2891,
154,Delhi,Bengaluru,India,2024-02-22,2024-02-27,5,Hotel 5-star,200,Bus,54.71,60.0,270.0,USD,GBP,0.79,461.92,1750,
155,Ahmedabad,Mumbai,India,2024-01-25,2024-01-29,4,Hotel 4-star,100,Train,15.92,48.0,216.0,USD,INR,83.0,31533.36,440,AC_1A
156,Delhi,London,UK,2024-08-25,2024-09-05,11,Airbnb,770,Bus,32.62,209.0,940.5,USD,AED,3.67,7164.28,6697,
157,Mumbai,Sydney,Australia,2024-05-17,2024-05-27,10,Hotel 3-star,120,Flight,1191.39,150.0,675.0,USD,JPY,153.0,326867.67,10157,
158,Jaipur,Paris,France,2024-04-18,2024-04-20,2,Hotel 5-star,80,Bus,38.39,34.0,153.0,USD,AED,3.67,1120.78,6612,
159,Surat,Dubai,UAE,2024-07-14,2024-07-21,7,Airbnb,490,Train,44.75,59.5,267.75,USD,EUR,0.92,793.04,1848,AC_1A
160,Surat,Mumbai,India,2024-08-27,2024-09-01,5,Hotel 3-star,60,Bus,14.45,60.0,270.0,USD,USD,1.0,404.45,233,
161,Bengaluru,Singapore,Singapore,2024-01-15,2024-01-18,3,Hotel 4-star,75,Car,390.23,55.5,249.75,USD,INR,83.0,63949.84,3164,
162,Chennai,Tokyo,Japan,2024-07-29,2024-08-10,12,Hotel 5-star,480,Car,598.36,168.0,756.0,USD,USD,1.0,2002.36,6411,
163,Kolkata,Bengaluru,India,2024-01-08,2024-01-17,9,Hostel,63,Car,124.88,108.0,486.0,USD,EUR,0.92,719.33,1561,
164,Ahmedabad,New York,USA,2024-02-07,2024-02-08,1,Airbnb,70,Bike,363.93,10.5,47.25,USD,AED,3.67,1804.47,12131,
165,Pune,Berlin,Germany,2024-01-31,2024-02-08,8,Airbnb,560,Car,746.55,140.0,630.0,USD,AED,3.67,7620.94,6399,
166,Chennai,Berlin,Germany,2024-02-22,2024-03-03,10,Hotel 4-star,250,Train,41.51,175.0,787.5,USD,GBP,0.79,990.67,7299,Ord_FC
167,Kolkata,Paris,France,2024-02-15,2024-02-16,1,Hotel 3-star,12,Train,45.94,17.0,76.5,USD,EUR,0.92,139.32,7856,AC_2A
168,Kolkata,Berlin,Germany,2024-02-15,2024-02-22,7,Hotel 3-star,84,Bike,351.55,122.5,551.25,USD,INR,83.0,92071.9,7031,
169,Delhi,New York,USA,2024-02-23,2024-03-05,11,Hotel 3-star,132,Train,80.87,115.5,519.75,USD,GBP,0.79,670.01,11742,AC_1A
170,Jaipur,Bengaluru,India,2024-01-31,2024-02-08,8,Hostel,56,Bike,53.55,96.0,432.0,USD,EUR,0.92,586.55,1562,
171,Mumbai,Paris,France,2024-08-15,2024-08-21,6,Airbnb,420,Bus,47.58,102.0,459.0,USD,INR,83.0,85372.14,7009,
172,Kolkata,Bengaluru,India,2024-07-03,2024-07-09,6,Hotel 3-star,72,Train,18.0,72.0,324.0,USD,USD,1.0,486.0,1561,Raj_3A
173,Delhi,Bengaluru,India,2024-06-20,2024-06-29,9,Hotel 4-star,225,Bus,10.93,108.0,486.0,USD,JPY,153.0,126979.29,1750,
174,Chennai,Berlin,Germany,2024-01-06,2024-01-07,1,Hostel,7,Bus,27.4,17.5,78.75,USD,GBP,0.79,103.21,7299,
175,Bengaluru,Berlin,Germany,2024-09-04,2024-09-15,11,Hotel 5-star,440,Flight,413.19,192.5,866.25,USD,INR,83.0,158691.02,7131,
176,Bengaluru,New York,USA,2024-05-24,2024-06-04,11,Airbnb,770,Train,7.34,115.5,519.75,USD,JPY,153.0,216126.27,13368,Exp_2S
177,Ahmedabad,London,UK,2024-09-06,2024-09-18,12,Airbnb,840,Bike,371.53,228.0,1026.0,USD,AED,3.67,9048.5,6844,
178,Pune,New York,USA,2024-01-31,2024-02-09,9,Hostel,63,Train,,94.5,425.25,USD,USD,1.0,,12639,Yuva_Other
